Tip Matrice,Nr threads,Timp executie
,,
,5,
,5,
,5,
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,1.7004
,16,1.72238
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,0
,16,51
,16,51
,16,52.9
,16,53.2
,16,52.2
,16,54.6
,16,1.69952
,16,1.60217
,16,16.7718
,2,13.91189
,16,18.0846
,16,0
,16,0
,16,0
,16,0
,16,0
,16,2.0577
,16,2.2305799
,4,0.6826
,4,53.6
,4,52.2
,4,52.1
,4,2.18084
,2,52.98679
,4,94.17481
,4,56.36639
,4,60.99521
,8,58.95204
,8,51.08151
,8,59.19496
,16,63.14333
,16,64.97942
,16,72.97943
,16,73.242
,16,57.89122
,2,16.56217
,4,19.86439
,8,18.24521
,16,16.82632
,2,49.80437
,4,52.17606
,8,58.93092
,2,46.74227
,8,48.89097
,16,65.30295
,16,53.09715
,2,18.29381
,4,20.67389
,8,21.78327
,16,19.70597
,2,1.832
,2,2.19301
,4,1.99971
,8,1.97398
,16,2.08223
,2,46.11589
,4,43.58436
,8,43.15311
,16,47.8988
